lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-T001,CloudScale AI,Technology,600000,Cloud-Native SaaS,"Enterprise SAML, SOC2 Type II, API Webhooks","SOC2, GDPR",High,tech_vp@cloudscale.ai,Recent  Series C funding announced,UP_12PCT,NORMAL,SERIES_C
LEAD-T002,DataSync Corp,Technology,50000,Data Pipeline SaaS,Basic ETL Connectors,SOC2,Low,eng@datasync.com,Acquisition rumors by Snowflake,UP_5PCT,NORMAL,MA_TARGET
LEAD-T003,Stealth AI Labs,Technology,120000,AI Inference Engine,"Sub-10ms latency, high-throughput GPU API","SOC2, HIPAA",High,founder@stealth.ai,New seed round closed,FLAT,NORMAL,NONE
LEAD-T004,LegacySoft Inc,Technology,400000,On-Premises ERP,"Strict Air-Gapped Deployment, No Cloud Egress",SOC2,High,cio@legacysoft.com,Chapter 11 Bankruptcy protection filed,DOWN_78PCT,BANKRUPTCY,NONE
LEAD-T005,CyberGuard ZeroTrust,Technology,450000,Security Platform,"FedRAMP Moderate, Air-Gapped VPC","FedRAMP, SOC2",High,cso@cyberguard.io,Awarded  DoD contract,UP_24PCT,NORMAL,DOD_AWARD
LEAD-T006,DevOps Pro Systems,Technology,95000,CI/CD Platform,Kubernetes Helm Deployments,SOC2,Medium,lead@devopspro.com,Stable cashflow positive quarter,UP_2PCT,NORMAL,NONE
LEAD-T007,Quantum Edge Compute,Technology,750000,Distributed Quantum,Quantum simulator SDK,"SOC2, ISO27001",High,cto@quantumedge.tech,Announced strategic partnership with AWS,UP_18PCT,NORMAL,STRATEGIC_ALLIANCE
LEAD-T008,AIGraph Systems,Technology,220000,Graph Neural Nets,Graph database indexing,"SOC2, GDPR",Medium,vp@aigraph.ai,CEO keynote at NeurIPS,FLAT,NORMAL,NONE
LEAD-T009,NeuralNet Security,Technology,310000,AI Firewall,Real-time packet inspection,SOC2 Type II,High,sec@neuralnet.com,Secured Series B ,UP_8PCT,NORMAL,SERIES_B
LEAD-T010,ByteForge Software,Technology,18000,Developer Tools,VS Code extension sync,None,Low,dev@byteforge.org,Bootstrapped developer tool,FLAT,NORMAL,NONE
LEAD-T011,CodePilot Inc,Technology,520000,AI Pair Programmer,Enterprise code indexer,"SOC2, GDPR",High,eng@codepilot.ai,Surpassed 1M active developers,UP_35PCT,NORMAL,ACQUISITION_RUMOR
LEAD-T012,TrustStack Cloud,Technology,380000,Compliance SaaS,Automated evidence collection,"SOC2, FedRAMP",High,audit@truststack.io,Passed SOC2 Type II audit,UP_4PCT,NORMAL,NONE
LEAD-T013,CloudVault Storage,Technology,290000,Encrypted Object Store,Immutable S3 buckets,"SOC2, HIPAA",Medium,ops@cloudvault.com,Revenue grew 40% YoY,UP_11PCT,NORMAL,NONE
LEAD-T014,InsolvAI Technologies,Technology,210000,Analytics Bot,Automated dashboard generator,SOC2,Low,cfo@insolvai.com,"Severe liquidity crisis, restructuring debt",DOWN_92PCT,BANKRUPTCY,NONE
LEAD-T015,HyperScale Grid,Technology,850000,Distributed Cloud,Multi-region mesh network,"SOC2, ISO27001",High,grid@hyperscale.net,Expanding to 14 EU regions,UP_15PCT,NORMAL,EXPANSION
