lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-R001,StyleMart Supercenter 1,Retail,514000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore1.com,Deploying POS failover systems,UP_3PCT,NORMAL,NONE
LEAD-R002,OmniStore Outlet 2,Retail,789000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore2.com,Deploying POS failover systems,UP_26PCT,NORMAL,NONE
LEAD-R003,StyleMart Supercenter 3,Retail,319000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore3.com,Deploying POS failover systems,UP_19PCT,NORMAL,NONE
LEAD-R004,OmniStore Outlet 4,Retail,830000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore4.com,Deploying POS failover systems,UP_8PCT,NORMAL,NONE
LEAD-R005,StyleMart Supercenter 5,Retail,569000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore5.com,E-commerce GMV surged 55%,UP_6PCT,NORMAL,GROWTH
LEAD-R006,OmniStore Outlet 6,Retail,941000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore6.com,Deploying POS failover systems,UP_23PCT,NORMAL,NONE
LEAD-R007,StyleMart Supercenter 7,Retail,355000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore7.com,Deploying POS failover systems,UP_23PCT,NORMAL,NONE
LEAD-R008,OmniStore Outlet 8,Retail,569000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore8.com,Deploying POS failover systems,UP_22PCT,NORMAL,NONE
LEAD-R009,StyleMart Supercenter 9,Retail,253000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore9.com,Deploying POS failover systems,UP_7PCT,NORMAL,NONE
LEAD-R010,OmniStore Outlet 10,Retail,432000,Omnichannel Retail,"Real-Time POS Failover, Shopify Plus Sync","PCI-DSS v4, SOC2",High,retail_ops@omnistore10.com,Deploying POS failover systems,UP_27PCT,NORMAL,NONE
