lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-B001,Capital Meridian Union 1,Banking,587000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust1.com,SOX 404 audit automation initiative,UP_5PCT,NORMAL,NONE
LEAD-B002,FinTrust Commercial Bank 2,Banking,1470000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust2.com,SOX 404 audit automation initiative,UP_8PCT,NORMAL,NONE
LEAD-B003,Capital Meridian Union 3,Banking,538000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust3.com,Merged with Regional Credit Union,UP_9PCT,NORMAL,MERGER
LEAD-B004,FinTrust Commercial Bank 4,Banking,370000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust4.com,SOX 404 audit automation initiative,UP_12PCT,NORMAL,NONE
LEAD-B005,Capital Meridian Union 5,Banking,1269000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust5.com,SOX 404 audit automation initiative,UP_10PCT,NORMAL,NONE
LEAD-B006,FinTrust Commercial Bank 6,Banking,1068000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust6.com,SOX 404 audit automation initiative,UP_4PCT,NORMAL,NONE
LEAD-B007,Capital Meridian Union 7,Banking,1068000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust7.com,SOX 404 audit automation initiative,UP_13PCT,NORMAL,NONE
LEAD-B008,FinTrust Commercial Bank 8,Banking,933000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust8.com,SOX 404 audit automation initiative,UP_4PCT,NORMAL,NONE
LEAD-B009,Capital Meridian Union 9,Banking,293000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust9.com,SOX 404 audit automation initiative,UP_2PCT,NORMAL,NONE
LEAD-B010,FinTrust Commercial Bank 10,Banking,1449000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust10.com,SOX 404 audit automation initiative,UP_7PCT,NORMAL,NONE
LEAD-B011,Capital Meridian Union 11,Banking,825000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust11.com,SOX 404 audit automation initiative,UP_7PCT,NORMAL,NONE
LEAD-B012,FinTrust Commercial Bank 12,Banking,941000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust12.com,SOX 404 audit automation initiative,UP_8PCT,NORMAL,NONE
LEAD-B013,Capital Meridian Union 13,Banking,210000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust13.com,SOX 404 audit automation initiative,UP_11PCT,NORMAL,NONE
LEAD-B014,FinTrust Commercial Bank 14,Banking,1438000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust14.com,FDIC receivership and distressed buyout,DOWN_95PCT,BANKRUPTCY,NONE
LEAD-B015,Capital Meridian Union 15,Banking,1423000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust15.com,SOX 404 audit automation initiative,UP_2PCT,NORMAL,NONE
LEAD-B016,FinTrust Commercial Bank 16,Banking,224000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust16.com,SOX 404 audit automation initiative,UP_7PCT,NORMAL,NONE
LEAD-B017,Capital Meridian Union 17,Banking,794000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust17.com,SOX 404 audit automation initiative,UP_13PCT,NORMAL,NONE
LEAD-B018,FinTrust Commercial Bank 18,Banking,323000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust18.com,SOX 404 audit automation initiative,UP_4PCT,NORMAL,NONE
LEAD-B019,Capital Meridian Union 19,Banking,492000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust19.com,SOX 404 audit automation initiative,UP_4PCT,NORMAL,NONE
LEAD-B020,FinTrust Commercial Bank 20,Banking,1198000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust20.com,SOX 404 audit automation initiative,UP_8PCT,NORMAL,NONE
LEAD-B021,Capital Meridian Union 21,Banking,387000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust21.com,Merged with Regional Credit Union,UP_7PCT,NORMAL,MERGER
LEAD-B022,FinTrust Commercial Bank 22,Banking,475000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust22.com,SOX 404 audit automation initiative,UP_5PCT,NORMAL,NONE
LEAD-B023,Capital Meridian Union 23,Banking,1047000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust23.com,SOX 404 audit automation initiative,UP_4PCT,NORMAL,NONE
LEAD-B024,FinTrust Commercial Bank 24,Banking,254000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust24.com,SOX 404 audit automation initiative,UP_8PCT,NORMAL,NONE
LEAD-B025,Capital Meridian Union 25,Banking,1227000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust25.com,SOX 404 audit automation initiative,UP_2PCT,NORMAL,NONE
LEAD-B026,FinTrust Commercial Bank 26,Banking,203000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust26.com,SOX 404 audit automation initiative,UP_11PCT,NORMAL,NONE
LEAD-B027,Capital Meridian Union 27,Banking,1207000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust27.com,SOX 404 audit automation initiative,UP_14PCT,NORMAL,NONE
LEAD-B028,FinTrust Commercial Bank 28,Banking,130000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust28.com,SOX 404 audit automation initiative,UP_2PCT,NORMAL,NONE
LEAD-B029,Capital Meridian Union 29,Banking,584000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust29.com,SOX 404 audit automation initiative,UP_3PCT,NORMAL,NONE
LEAD-B030,FinTrust Commercial Bank 30,Banking,932000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust30.com,SOX 404 audit automation initiative,UP_8PCT,NORMAL,NONE
LEAD-B031,Capital Meridian Union 31,Banking,1085000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust31.com,SOX 404 audit automation initiative,UP_4PCT,NORMAL,NONE
LEAD-B032,FinTrust Commercial Bank 32,Banking,921000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust32.com,SOX 404 audit automation initiative,UP_15PCT,NORMAL,NONE
LEAD-B033,Capital Meridian Union 33,Banking,220000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust33.com,SOX 404 audit automation initiative,UP_3PCT,NORMAL,NONE
LEAD-B034,FinTrust Commercial Bank 34,Banking,876000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust34.com,SOX 404 audit automation initiative,UP_1PCT,NORMAL,NONE
LEAD-B035,Capital Meridian Union 35,Banking,899000,Commercial Banking,"Immutable Audit Logs, HSM Dedicated Key Vault, Core Banking Gateway","SOX 404, AML, GLBA",High,compliance@fintrust35.com,SOX 404 audit automation initiative,UP_5PCT,NORMAL,NONE
