lead_id,company_name,industry,annual_revenue_usd,architecture_type,pain_points,compliance_needs,urgency,contact_email,recent_news,stock_trend,bankruptcy_flag,funding_event
LEAD-H001,Alpine Luxury Suites 1,Hospitality,673000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup1.com,Upgrading PMS booking systems,UP_12PCT,NORMAL,NONE
LEAD-H002,Coastal Retreats 2,Hospitality,631000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup2.com,Upgrading PMS booking systems,UP_7PCT,NORMAL,NONE
LEAD-H003,Grand Resort & Hotel Group 3,Hospitality,761000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup3.com,Upgrading PMS booking systems,UP_3PCT,NORMAL,NONE
LEAD-H004,Coastal Retreats 4,Hospitality,86000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup4.com,Acquired 5 boutique hotels in Europe,UP_8PCT,NORMAL,ACQUISITION
LEAD-H005,Alpine Luxury Suites 5,Hospitality,831000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup5.com,Upgrading PMS booking systems,UP_10PCT,NORMAL,NONE
LEAD-H006,Grand Resort & Hotel Group 6,Hospitality,121000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup6.com,Upgrading PMS booking systems,UP_8PCT,NORMAL,NONE
LEAD-H007,Alpine Luxury Suites 7,Hospitality,143000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup7.com,Filing Chapter 11 after travel slump,DOWN_90PCT,BANKRUPTCY,NONE
LEAD-H008,Coastal Retreats 8,Hospitality,429000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup8.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H009,Grand Resort & Hotel Group 9,Hospitality,504000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup9.com,Upgrading PMS booking systems,UP_12PCT,NORMAL,NONE
LEAD-H010,Coastal Retreats 10,Hospitality,206000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup10.com,Upgrading PMS booking systems,UP_12PCT,NORMAL,NONE
LEAD-H011,Alpine Luxury Suites 11,Hospitality,403000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup11.com,Upgrading PMS booking systems,UP_7PCT,NORMAL,NONE
LEAD-H012,Grand Resort & Hotel Group 12,Hospitality,726000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup12.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H013,Alpine Luxury Suites 13,Hospitality,758000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup13.com,Upgrading PMS booking systems,UP_3PCT,NORMAL,NONE
LEAD-H014,Coastal Retreats 14,Hospitality,663000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup14.com,Upgrading PMS booking systems,UP_6PCT,NORMAL,NONE
LEAD-H015,Grand Resort & Hotel Group 15,Hospitality,586000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup15.com,Upgrading PMS booking systems,UP_8PCT,NORMAL,NONE
LEAD-H016,Coastal Retreats 16,Hospitality,207000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup16.com,Upgrading PMS booking systems,UP_15PCT,NORMAL,NONE
LEAD-H017,Alpine Luxury Suites 17,Hospitality,428000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup17.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H018,Grand Resort & Hotel Group 18,Hospitality,695000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup18.com,Upgrading PMS booking systems,UP_18PCT,NORMAL,NONE
LEAD-H019,Alpine Luxury Suites 19,Hospitality,264000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup19.com,Acquired 5 boutique hotels in Europe,UP_11PCT,NORMAL,ACQUISITION
LEAD-H020,Coastal Retreats 20,Hospitality,826000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup20.com,Upgrading PMS booking systems,UP_2PCT,NORMAL,NONE
LEAD-H021,Grand Resort & Hotel Group 21,Hospitality,274000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup21.com,Upgrading PMS booking systems,UP_2PCT,NORMAL,NONE
LEAD-H022,Coastal Retreats 22,Hospitality,363000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup22.com,Upgrading PMS booking systems,UP_13PCT,NORMAL,NONE
LEAD-H023,Alpine Luxury Suites 23,Hospitality,314000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup23.com,Upgrading PMS booking systems,UP_3PCT,NORMAL,NONE
LEAD-H024,Grand Resort & Hotel Group 24,Hospitality,256000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup24.com,Upgrading PMS booking systems,UP_11PCT,NORMAL,NONE
LEAD-H025,Alpine Luxury Suites 25,Hospitality,257000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup25.com,Upgrading PMS booking systems,UP_16PCT,NORMAL,NONE
LEAD-H026,Coastal Retreats 26,Hospitality,445000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup26.com,Upgrading PMS booking systems,UP_15PCT,NORMAL,NONE
LEAD-H027,Grand Resort & Hotel Group 27,Hospitality,186000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup27.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H028,Coastal Retreats 28,Hospitality,182000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",Medium,gm@hotelgroup28.com,Upgrading PMS booking systems,UP_8PCT,NORMAL,NONE
LEAD-H029,Alpine Luxury Suites 29,Hospitality,802000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup29.com,Upgrading PMS booking systems,UP_18PCT,NORMAL,NONE
LEAD-H030,Grand Resort & Hotel Group 30,Hospitality,591000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup30.com,Upgrading PMS booking systems,UP_9PCT,NORMAL,NONE
LEAD-H031,Alpine Luxury Suites 31,Hospitality,804000,Resort Management,"Opera PMS Two-Way Sync, Central Billing","PCI-DSS, GDPR",High,gm@hotelgroup31.com,Upgrading PMS booking systems,UP_14PCT,NORMAL,NONE
